subset_label,subset_size,dimensions,structure_count,total_bins,occupied_bins,occupied_bin_fraction,normalized_entropy,max_bin_fraction,gini,nn_distance_mean,nn_distance_p95
Cr-W,2,1,1669,20,20,1.000000000000,0.958341422328,0.096464949071,0.262522468544,0.000207944808,0.001234059208
Cr-Y,2,1,1827,20,20,1.000000000000,0.959621612925,0.089217296114,0.248960043788,0.000182192449,0.001149796396
Cr-Zr,2,1,1715,20,20,1.000000000000,0.959715911237,0.090379008746,0.244052478134,0.000167895756,0.001111111111
W-Y,2,1,1726,20,20,1.000000000000,0.960329958482,0.093279258401,0.249710312862,0.000192889530,0.001287001287
W-Zr,2,1,1617,20,20,1.000000000000,0.961044918846,0.084724799011,0.247526283241,0.000204106099,0.001328167312
Y-Zr,2,1,1737,20,20,1.000000000000,0.957347059550,0.088082901554,0.255008635579,0.000175050316,0.001175364623
Cr-W-Y,3,2,855,190,107,0.563157894737,0.748111932274,0.049122807018,0.791966759003,0.003352508622,0.015662115303
Cr-W-Zr,3,2,737,190,108,0.568421052632,0.758845624709,0.054274084125,0.781725344569,0.003770765505,0.016589493709
Cr-Y-Zr,3,2,857,190,105,0.552631578947,0.734021350870,0.052508751459,0.806430019038,0.003094508908,0.015676763942
W-Y-Zr,3,2,773,190,106,0.557894736842,0.743781857727,0.053040103493,0.796507115136,0.003568046502,0.016245443809
