subset_label,subset_size,dimensions,structure_count,total_bins,occupied_bins,occupied_bin_fraction,normalized_entropy,max_bin_fraction,gini,nn_distance_mean,nn_distance_p95
Cr-W,2,1,893,20,20,1.000000000000,0.965353296999,0.101903695409,0.235106382979,0.000336083120,0.002311603573
Cr-Y,2,1,995,20,20,1.000000000000,0.965811671400,0.081407035176,0.227386934673,0.000286406213,0.001982502187
Cr-Zr,2,1,959,20,20,1.000000000000,0.964440257137,0.092805005214,0.231647549531,0.000271186157,0.001968253968
W-Y,2,1,919,20,20,1.000000000000,0.965780709617,0.088139281828,0.234330794342,0.000337039968,0.002532371267
W-Zr,2,1,891,20,20,1.000000000000,0.964693295933,0.093153759820,0.245622895623,0.000370058330,0.002609317288
Y-Zr,2,1,950,20,20,1.000000000000,0.961255298426,0.087368421053,0.240842105263,0.000299492843,0.002384193777
Cr-W-Y,3,2,463,190,90,0.473684210526,0.746034734752,0.045356371490,0.796100943503,0.004885209229,0.028024375008
Cr-W-Zr,3,2,414,190,90,0.473684210526,0.758682767781,0.057971014493,0.783473175693,0.004746638778,0.025442102413
Cr-Y-Zr,3,2,486,190,84,0.442105263158,0.730684032900,0.051440329218,0.812237383582,0.004263078946,0.022572956461
W-Y-Zr,3,2,428,190,88,0.463157894737,0.743512187036,0.044392523364,0.798106246926,0.004951661295,0.027394946972
