subset_label,subset_size,dimensions,structure_count,total_bins,occupied_bins,occupied_bin_fraction,normalized_entropy,max_bin_fraction,gini,nn_distance_mean,nn_distance_p95
Cr-W,2,1,903,20,20,1.000000000000,0.966713484952,0.106312292359,0.222868217054,0.000365589502,0.002693439160
Cr-Y,2,1,968,20,20,1.000000000000,0.969811621265,0.083677685950,0.214049586777,0.000354199269,0.002491127491
Cr-Zr,2,1,943,20,20,1.000000000000,0.965907026768,0.095440084836,0.230487804878,0.000290910646,0.002014148231
W-Y,2,1,927,20,20,1.000000000000,0.967533921287,0.085221143474,0.229395900755,0.000302894365,0.002000560224
W-Zr,2,1,915,20,20,1.000000000000,0.965980757125,0.095081967213,0.241256830601,0.000352656235,0.002503631451
Y-Zr,2,1,931,20,20,1.000000000000,0.965216616394,0.093447905478,0.238292158969,0.000306648119,0.002080375088
Cr-W-Y,3,2,472,190,88,0.463157894737,0.750648644593,0.042372881356,0.791748438894,0.004582331960,0.025070022406
Cr-W-Zr,3,2,430,190,85,0.447368421053,0.758550336767,0.065116279070,0.783843329253,0.004880678792,0.024116957061
Cr-Y-Zr,3,2,470,190,85,0.447368421053,0.739611625814,0.044680851064,0.803896976484,0.004140624312,0.023775989015
W-Y-Zr,3,2,440,190,94,0.494736842105,0.758228667491,0.040909090909,0.781483253589,0.005031751511,0.028565556378
